Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-2129.2573	20.573154	-2101.1575	-2158.9443	1000.0	-151.76593	0.000927363	-151.75624	-151.76651	152000	7.264316e-08	4150.076	-0.016101016	-266.0241	0.5366097	0.0075191585	0.12525	79.0	132.46712279319763
38	-2116.3657	8.560326	-2105.6775	-2129.3335	1000.0	-154.29196	0.000940442	-154.28072	-154.29253	156000	-1.1641532e-08	3750.9998	-0.01403603	-241.23877	0.52359945	0.015134994	0.1625	19.0	135.86712312698364
39	-2114.0488	10.005852	-2102.2812	-2129.1758	1000.0	-156.73769	0.0009509059	-156.71977	-156.73822	160000	-3.678724e-08	3486.851	-0.01024581	-227.29883	0.5184488	0.015124588	0.16800001	11.0	139.13712167739868
40	-2106.8862	5.3406773	-2098.8616	-2113.6711	1000.0	-159.14822	0.0009373777	-159.13727	-159.14877	164000	-1.44355e-08	3051.7893	-0.01908201	-203.46307	0.51515967	0.011952007	0.15900001	79.0	143.5561239719391
41	-2066.037	9.101057	-2057.0808	-2080.54	1000.0	-161.47075	0.00089652557	-161.46127	-161.47128	168000	-8.6613e-08	2538.1787	-0.015298996	-163.04633	0.5016422	0.009082077	0.12625	79.0	148.05812239646912
42	-2059.5654	19.043331	-2036.4695	-2084.6204	1000.0	-163.59268	0.0008714348	-163.5844	-163.59322	172000	-1.8626451e-08	2410.3457	-0.010373298	-150.8053	0.50210744	0.015967399	0.159	8.0	152.075124502182
43	-2053.9026	15.579862	-2038.8972	-2075.747	1000.0	-165.65988	0.000855415	-165.64528	-165.66037	176000	1.010485e-07	2196.303	-0.0081955595	-134.49963	0.5019148	0.015647635	0.15675	8.0	155.85712385177612
44	-2035.3751	14.748489	-2012.7454	-2053.9275	1000.0	-167.64944	0.00080013566	-167.63925	-167.6499	180000	-4.656613e-09	1914.9385	-0.017641544	-116.52115	0.49967924	0.008951223	0.1315	79.0	160.2781240940094
45	-2035.8218	13.946764	-2014.9869	-2048.6514	1000.0	-169.53598	0.0007675437	-169.5266	-169.53645	184000	-5.1688403e-08	1868.2258	-0.018740728	-107.63638	0.4980352	0.013833672	0.13925001	79.0	165.3151204586029
46	-2032.8782	7.1728826	-2022.1831	-2042.3705	1000.0	-171.37846	0.0007533124	-171.37268	-171.37892	188000	4.656613e-10	1736.8864	-0.017021244	-97.15164	0.48851913	0.015010004	0.1305	67.0	169.78612184524536
47	-2024.9562	28.63487	-1982.1147	-2056.1606	1000.0	-173.16222	0.00081260275	-173.15282	-173.1627	192000	2.0023435e-08	1568.4429	-0.010690989	-84.18503	0.48285797	0.015112495	0.1575	12.0	174.14512372016907
48	-2001.7397	9.756972	-1987.6351	-2013.9017	1000.0	-174.85526	0.00076135364	-174.84666	-174.8557	196000	1.3969839e-08	1356.1885	-0.0161771	-65.55084	0.47952515	0.009480481	0.1305	79.0	180.41812419891357
49	-1991.7695	15.982345	-1967.1844	-2011.7931	1000.0	-176.38203	0.00073948916	-176.36993	-176.38249	200000	2.142042e-08	1269.0358	-0.017042277	-55.370483	0.47199297	0.010990838	0.14325	79.0	185.39612412452698
50	-1981.9375	19.266464	-1961.6066	-2013.3568	1000.0	-177.80803	0.000669191	-177.80054	-177.80846	204000	-1.1641532e-08	1176.9375	-0.016594134	-44.67415	0.4614004	0.01196878	0.14500001	79.0	189.91112208366394
51	-1983.4069	8.741352	-1971.5813	-1995.0038	1000.0	-179.11552	0.0006544271	-179.10849	-179.11594	208000	-1.6298145e-08	1044.4198	-0.016069274	-41.258484	0.45342597	0.011672876	0.1355	79.0	194.25012183189392
52	-1974.0304	4.871279	-1967.5283	-1980.5345	1000.0	-180.39098	0.0007136493	-180.38255	-180.39142	212000	4.1676685e-08	1055.4795	-0.014284221	-34.08055	0.45489103	0.006133616	0.11175001	79.0	199.88112449645996
53	-1957.1311	16.289488	-1935.4639	-1976.5582	1000.0	-181.5769	0.00067463896	-181.56755	-181.57733	216000	-1.8626451e-09	956.3176	-0.015674515	-23.835175	0.44526133	0.014105097	0.12375	79.0	205.716126203537
54	-1961.8307	13.439128	-1949.374	-1984.4666	1000.0	-182.59322	0.00067645306	-182.58324	-182.59364	220000	-3.7252903e-08	984.1481	-0.016871959	-22.79271	0.44733632	0.011069055	0.13975	79.0	210.42712354660034
55	-1942.7056	7.527378	-1932.4276	-1952.4336	1000.0	-183.59671	0.0006636246	-183.59132	-183.59712	224000	-1.3504177e-08	871.24426	-0.011088267	-14.986816	0.43320316	0.015073598	0.1765	14.0	219.55212569236755
56	-1932.7869	17.881165	-1909.1951	-1959.2205	1000.0	-184.43675	0.0006465649	-184.43019	-184.43716	228000	-1.4901161e-08	842.16956	-0.019586649	-10.198914	0.4327356	0.01513794	0.16025001	39.0	225.6131362915039
57	-1934.6254	23.602386	-1903.2969	-1964.391	1000.0	-185.14209	0.00065512874	-185.13673	-185.14252	232000	1.4901161e-08	817.4597	-0.01605342	-9.32103	0.42472324	0.010333585	0.12025	79.0	230.92112493515015
58	-1926.9207	13.009472	-1916.1976	-1948.833	1000.0	-185.82384	0.00071100245	-185.81445	-185.82428	236000	1.8626451e-08	803.188	-0.017839503	-6.733246	0.42540732	0.012690907	0.14975	79.0	236.50012159347534
59	-1926.2051	7.930437	-1915.1545	-1937.3549	1000.0	-186.4195	0.0006972451	-186.41167	-186.41992	240000	6.9849193e-09	816.22986	-0.016956583	-5.827301	0.4176658	0.0077487244	0.13499999	79.0	241.81512188911438
60	-1932.2971	14.64609	-1907.2832	-1943.4003	1000.0	-186.98135	0.00064718485	-186.97644	-186.98178	244000	8.381903e-09	850.3768	-0.01739261	-6.1894836	0.41176	0.011158278	0.13975	79.0	246.6391246318817
61	-1912.327	15.434696	-1892.6335	-1928.3873	1000.0	-187.56894	0.00066448556	-187.56323	-187.56938	248000	0.0	805.5803	-0.016905738	-2.0898743	0.39916	0.01221298	0.14375001	79.0	251.6271243095398
62	-1917.0703	14.454142	-1900.9657	-1939.5868	1000.0	-187.93187	0.00063758163	-187.9262	-187.93228	252000	-5.5879354e-09	770.6039	-0.017590456	-2.2191467	0.39591095	0.014356606	0.14	79.0	256.3661243915558
